a,啊阿吖嗄腌锕
ai,埃挨哎唉哀皑癌蔼矮艾碍爱隘诶捱嗳嗌嫒瑷暧砹锿霭
an,鞍氨安俺按暗岸胺案谙埯揞犴庵桉铵鹌黯
ang,肮昂盎
ao,凹敖熬翱袄傲奥懊澳坳拗嗷岙廒遨媪骜獒聱鏊鳌鏖螯
ba,芭捌扒叭吧笆八疤巴拔跋靶把耙坝霸罢爸茇菝岜灞钯粑鲅魃
bai,白伯柏百摆佰败拜稗捭
ban,斑班搬扳般颁板版扮拌伴瓣半办绊阪坂钣瘢癍舨
bang,邦帮梆榜膀绑棒磅蚌镑傍谤蒡浜
bao,苞胞包褒剥薄雹保堡饱宝抱报暴曝豹鲍爆葆孢煲鸨褓趵龅刨
bei,杯碑悲卑北辈背贝钡倍狈备惫焙被孛陂邶蓓悖碚鹎褙鐾鞴呗臂
ben,奔苯本笨畚坌锛
beng,崩绷甭泵蹦迸嘣甏蚌
bi,逼鼻比鄙笔彼碧蓖蔽毕毙毖币庇痹闭敝弊必辟壁臂避陛匕贲俾芘荜荸萆薜吡哔狴庳愎滗濞弼妣婢嬖璧畀铋秕裨筚箅篦舭襞跸髀秘
bian,鞭边编贬扁便变卞辨辩辫遍匾弁苄忭汴缏煸砭碥窆褊蝙笾鳊
biao,标彪膘表婊骠杓飑飙飚镖镖镳瘭裱鳔髟
bie,鳖憋别瘪蹩
bin,彬斌濒滨宾摈傧豳缤玢殡膑镔髌鬓
bing,兵冰柄丙秉饼炳病并禀邴摒槟
bo,卜柏玻菠播拨钵波博勃搏铂箔伯帛舶脖膊渤泊驳亳啵饽檗擘礴钹鹁簸踣掰跛剥薄
bu,捕卜哺补埠不布步簿部怖卟瓿晡钚钸醭
ca,擦嚓礤
cai,猜裁材才财睬踩采彩菜蔡
can,餐参蚕残惭惨灿孱骖璨粲黪
cang,苍舱仓沧藏伧
cao,操糙槽曹草嘈漕螬艚
ce,厕策侧册测恻
cen,参岑涔
ceng,层蹭噌
cha,插叉茬茶查碴搽察岔差诧馇汊姹杈楂槎檫锸镲衩猹
chai,拆差柴豺侪钗虿
chan,搀掺蝉馋谗缠单铲产阐颤冁谄蒇舛廛忏潺澶羼婵骣觇禅镡蟾躔
chang,昌猖场尝常长偿肠厂敞畅唱倡伥鬯苌菖徜怅惝阊娼嫦昶氅鲳
chao,超抄钞朝嘲潮巢吵炒怊晁焯耖
che,车扯撤掣彻澈坼砗
chen,郴臣辰尘晨忱沉陈趁衬谌谶抻嗔宸琛榇碜龀
cheng,撑称城橙成呈乘程惩澄诚承逞骋秤丞埕枨柽塍瞠铖铛裎蛏酲
chi,墀吃痴持匙池迟弛驰耻齿侈尺赤翅斥炽傺坻茌叱哧啻嗤彳饬媸敕眵鸱瘛褫蚩螭笞篪豉踟魑
chong,充冲虫崇宠茺怄忡憧铳舂艟
chou,抽酬畴踌稠愁筹仇绸瞅丑臭俦帱惆瘳雠
chu,褚初出橱厨躇锄雏滁除楚础储矗搐触处亍刍怵憷绌杵楮樗蜍蹰黜畜
chuai,揣搋嘬踹
chuan,川穿椽传船喘串遄巛氚钏舡
chuang,疮窗幢床闯创怆
chui,吹炊捶锤垂陲棰槌
chun,春椿醇唇淳纯蠢莼鹑蝽
chuo,戳绰辍踔龊啜
ci,疵茨磁雌辞慈瓷词此刺赐次呲祠鹚糍茈差伺
cong,聪葱囱匆从丛苁淙骢琮璁枞
cou,凑楱辏腠
cu,粗醋簇促蔟徂猝殂酢蹙蹴
cuan,攒蹿篡窜汆撺爨镩
cui,摧崔催脆瘁粹淬翠萃啐悴璀榱毳隹
cun,村存寸忖皴
cuo,磋撮搓措挫错厝嵯脞锉矬痤鹾蹉
da,搭达答瘩打大耷哒嗒怛妲沓褡笪靼鞑
dai,呆歹傣戴带殆代贷袋待逮怠埭甙甙呔岱迨骀绐玳黛大
dan,耽担丹单郸掸胆旦氮但惮淡诞弹蛋儋萏啖澹殚赕眈瘅聃箪疸卩
dang,当挡党荡档谠凼菪宕砀裆
dao,刀捣蹈倒岛祷导到稻悼道盗叨忉氘焘纛
de,的地得德嘚锝
dei,得嘚
deng,蹬灯登等瞪凳邓噔嶝戥磴镫簦
di,提堤低滴迪敌笛狄涤翟嫡抵底地蒂第帝弟递缔氐籴诋谛邸荻嘀娣柢棣觌砥碲睇镝羝骶绨
dia,嗲
dian,颠掂滇碘点典靛垫电佃甸店惦奠淀殿阽坫巅玷钿癜癫簟
diao,碉叼雕凋刁掉吊钓调铞貂鲷
die,跌爹碟蝶迭谍叠垤堞揲喋嗲瓞耋蹀鲽踮佚
ding,丁盯叮钉顶鼎锭定订仃啶玎腚碇町铤疔耵酊
diu,丢铥
dong,东冬董懂动栋侗恫冻洞垌咚岽峒氡胨胴硐鸫
dou,兜抖斗陡豆逗痘都蔸窦篼蚪
du,都督毒犊独读堵睹赌杜镀肚度渡妒芏嘟渎椟牍蠹笃髑黩
duan,端短锻段断缎椴煅簖
dui,堆兑队对怼憝碓
dun,墩吨蹲敦顿囤钝盾遁沌炖砘礅盹趸镦
duo,掇哆多夺度垛躲朵跺舵剁惰堕咄哚沲缍铎裰踱柁
e,阿蛾峨鹅俄额讹娥恶厄扼遏鄂饿噩谔垩苊莪萼呃愕屙婀轭腭锇锷鹗颚鳄
ei,欸
en,恩蒽摁嗯
er,而儿耳尔饵洱二贰佴迩珥铒鸸鲕
fa,发罚筏伐乏阀法珐垡砝
fan,蕃藩帆番翻樊矾钒繁凡烦反返范贩犯饭泛蘩幡梵燔畈蹯
fang,坊芳方肪房防妨仿访纺放邡彷枋钫舫鲂
fei,菲非啡飞肥匪诽吠肺废沸费狒悱淝妃绯榧腓斐镄痱蜚篚翡霏鲱扉
fen,芬酚吩氛分纷坟焚汾粉奋份忿愤粪偾瀵棼鲼鼢
feng,丰封枫蜂峰锋风疯烽逢冯缝讽奉凤俸酆葑唪沣砜
fo,佛
fou,否缶
fu,夫敷肤孵扶拂辐幅氟符伏俘服浮涪福袱弗甫抚辅俯釜斧脯腑府腐赴副覆赋复傅付阜父腹负富讣附妇缚咐匐凫郛芙苻茯莩菔拊呋幞怫滏艴孚驸绂绋桴赙祓砩黻黼罘稃馥蚨蜉蝠蝮麸跗鲋鳆趺芾
ga,噶嘎尬尕尜旮钆伽
gai,该改概钙盖溉丐陔垓戤赅
gan,干甘杆柑竿肝赶感秆敢赣坩苷尴擀泔淦澉橄旰矸疳酐
gang,冈刚钢缸肛纲岗港杠戆罡筻
gao,篙皋高膏羔糕搞镐稿告睾诰郜藁缟槔槁槁杲锆
ge,哥歌搁戈鸽胳疙割革葛格蛤阁隔铬个各鬲仡哿圪塥嗝纥搿膈硌镉袼颌虼舸骼
gei,给
gen,根跟亘茛哏艮
geng,耕更庚羹埂耿梗哽赓绠鲠
gong,工攻功恭龚供躬公宫弓巩汞拱贡共珙肱蚣觥
gou,钩勾沟苟狗垢构购够诟岣遘媾缑枸觏彀笱篝鞲
gu,辜菇咕箍估沽孤姑鼓古蛊骨谷股故顾固雇嘏诂菰崮汩梏轱牯牿臌毂瞽罟钴锢鸪鹄痼蛄酤觚鲴鹘
gua,刮瓜剐寡挂褂卦诖栝胍呱
guai,乖拐怪
guan,棺关官冠观管馆罐惯灌贯莞掼涫盥鹳矜鳏
guang,光广逛咣犷桄胱
gui,瑰规圭硅归龟闺轨鬼诡癸桂柜跪贵刽匦刿庋宄妫桧炅晷皈簋鲑鳜
gun,辊滚棍衮绲磙鲧
guo,锅郭国果裹过馘埚呙帼崞猓椁聒蜾蝈掴虢
ha,哈铪
hai,骸孩海氦亥害骇胲醢
han,酣憨邯韩含涵寒函喊罕翰撼捍旱憾悍焊汗汉邗菡撖阚瀚晗焓顸颔蚶鼾
hang,夯杭航行沆绗巷吭
hao,壕嚎豪毫郝好耗号浩蒿薅嗥嚆濠灏昊皓颢蚝
he,呵喝荷菏核禾和何合盒貉阂河涸赫褐鹤贺诃劾壑嗬阖曷盍翮蚵
hei,嘿黑嗨
hen,痕很狠恨
heng,哼亨横衡恒蘅桁珩
hong,轰哄烘虹鸿洪宏弘红黉訇讧荭蕻薨闳泓
hou,喉侯猴吼厚候后堠後逅瘊篌糇鲎骺
hu,呼乎忽瑚壶葫胡蝴狐糊湖弧虎唬护互沪户冱唿囫岵猢怙惚浒滹琥槲轷觳烀煳戽扈祜瓠鹕鹱笏醐斛
hua,花哗华猾滑画划化话骅桦砉铧
huai,槐徊怀淮坏踝
huan,欢环桓还缓换患唤痪豢焕涣宦幻郇奂萑擐圜獾洹浣漶寰逭缳锾鲩鬟
huang,荒慌黄磺蝗簧皇凰惶煌晃幌恍谎隍徨湟潢遑璜肓癀蟥篁鳇
hui,灰挥辉徽恢蛔回毁悔慧卉惠晦贿秽会烩汇讳诲绘诙茴荟蕙咴哕喙隳洄浍彗缋晖恚虺蟪麾
hun,荤昏婚魂浑混诨馄阍溷珲
huo,豁活和伙火获或惑霍货祸劐藿攉嚯夥钬锪镬耠蠖
ji,击圾基机奇畸稽积箕肌饥迹激讥鸡姬绩缉吉极棘辑籍集及急疾汲即嫉级挤给几脊己蓟技冀季伎祭剂悸济寄寂计记既忌际妓系继纪亟乩剞佶墼芨芰荠蒺蕺掎叽咭哜唧岌嵴洎屐骥畿玑楫殛戟戢赍觊犄齑矶羁嵇稷瘠虮笈笄暨跻跽霁鲚鲫髻麂丌
jia,嘉枷夹佳家加茄荚颊贾甲钾假稼价架驾嫁郏葭岬浃迦珈戛胛恝铗镓痂瘕蛱笳袈跏袷伽
jian,歼监坚尖笺间煎兼肩艰奸缄茧检柬碱硷拣捡简俭剪减荐槛鉴践贱见键箭件健舰剑饯渐溅涧建僭谏谫菅蒹搛囝湔蹇謇缣枧楗戋戬牮毽腱睑锏鹣裥笕翦趼踺鲣鞯犍
jiang,僵姜将浆江疆蒋桨奖讲匠酱降茳洚绛缰犟礓耩糨豇强
jiao,蕉椒礁焦胶交郊浇骄娇嚼搅铰矫侥脚狡角饺缴绞剿教酵轿校较叫窖佼僬艽茭挢噍峤徼湫姣敫皎鹪蛟醮跤鲛
jie,揭接皆秸街阶截劫节桔杰捷睫竭洁结解姐戒藉芥界借介疥诫届讦拮喈嗟婕孑桀牒碣疖颉蚧羯鲒骱偈诘
jin,巾筋斤金今津襟紧锦仅谨进靳晋禁近烬浸尽劲卺堇噤馑廑妗缙瑾槿赆觐衿荩
jing,荆兢茎睛晶鲸京惊精粳经井警景颈静境敬镜径痉靖竟竞净刭儆阱菁獍憬泾迳弪婧肼胫腈旌靓
jiong,炯窘迥扃
jiu,揪究纠玖韭久灸九酒厩救旧臼舅咎就疚僦啾阄柩桕鸠鹫赳鬏
ju,鞠拘狙疽居驹菊桔局咀矩举沮聚拒据巨具距踞锯俱句惧炬剧倨讵苣苴莒掬遽屦琚椐榘榉橘犋飓钜锔窭裾趄醵踽龃雎鞫
juan,捐鹃娟倦眷卷绢鄄狷狷涓桊蠲锩镌隽
jue,撅攫抉掘倔爵嚼角觉决诀绝厥劂谲矍蕨噘噱崛獗孓珏桷橛爝镢蹶觖
jun,均菌钧军君峻俊竣浚郡骏捃皲筠麇
ka,喀咖卡咯佧咔胩
kai,开揩楷凯慨剀垲蒈忾恺锎锴铠
kan,刊堪勘坎砍看侃莰戡龛瞰
kang,康慷糠扛抗亢炕伉闶钪
kao,考拷烤靠尻栲犒铐
ke,坷苛柯棵磕颗科壳咳可渴克刻客课嗑岢恪溘骒骒缂珂轲氪瞌钶锞稞疴窠颏蝌髁
ken,肯啃垦恳裉龈
keng,坑吭铿
kong,空恐孔控倥崆箜
kou,抠口扣寇芤蔻叩眍筘
ku,枯哭窟苦酷库裤刳堀喾绔骷
kua,夸垮挎跨胯侉
kuai,块筷侩快蒯郐哙脍会
kuan,宽款髋
kuang,匡筐狂框矿眶旷况诓诳邝圹夼哐纩贶
kui,亏盔岿窥葵奎魁傀馈愧溃馗匮夔隗蒉揆喹喟悝愦逵暌睽聩蝰篑跬
kun,坤昆捆困悃阃琨锟醌鲲髡
kuo,括扩廓阔蛞
la,垃拉喇蜡腊辣啦旯砬瘌剌邋落
lai,莱来赖崃徕涞濑赉睐铼癞籁
lan,蓝婪栏拦篮阑兰澜谰揽览懒缆烂滥岚漤榄斓罱镧褴
lang,琅榔狼廊郎朗浪莨蒗啷阆锒稂螂
lao,捞劳牢老佬姥酪烙涝唠崂栳铑铹痨耢醪落
le,勒乐仂叻泐鳓
lei,雷镭蕾磊累儡垒擂肋类泪羸诔捩嘞嫘缧檑耒酹
leng,棱楞冷塄愣
li,厘梨犁黎篱狸离漓理李里鲤礼莉荔吏栗丽厉励砾历利傈例俐痢立粒沥隶力璃哩俪俚郦坜苈莅蓠藜呖唳喱溧澧逦娌嫠骊缡枥栎轹戾砺詈罹锂鹂疠疬蛎蜊蠡笠篥粝醴跞雳鲡鳢黧
lia,俩
lian,联莲连镰廉怜涟帘敛脸链恋炼练蔹奁潋濂琏楝殓臁裢裣蠊鲢
liang,粮凉梁粱良两辆量晾亮谅墚墚椋踉魉
liao,撩聊僚疗燎寥辽潦了撂镣廖料蓼尥嘹獠寮缭钌鹩
lie,列裂烈劣猎冽埒咧洌趔躐鬣
lin,琳林磷霖临邻鳞淋凛赁吝蔺啉嶙廪懔遴檩辚膦瞵粼躏麟
ling,拎玲菱零龄铃伶羚凌灵陵岭领另令酃苓呤囹泠绫柃棂瓴聆蛉鲮翎
liu,溜琉榴硫馏留刘瘤流柳六浏遛骝绺旒熘锍镏鹨鎏桎
long,龙聋咙笼窿隆垄拢陇垅茏泷珑栊胧砻癃
lou,楼娄搂篓漏陋蒌喽嵝镂瘘耧蝼髅
lu,芦卢颅庐炉掳卤虏鲁麓碌露路赂鹿潞禄录陆戮垆撸噜泸渌漉逯璐栌橹轳辂辘氇胪镥鸬鹭簏舻鲈
lv,驴吕铝侣旅履屡缕虑氯律率滤绿闾榈膂稆褛偻捋
luan,峦挛孪滦卵乱脔娈栾鸾銮
lue,掠略锊
lun,抡轮伦仑沦纶论囵
luo,萝螺罗逻锣箩骡裸落洛骆络倮蠃荦摞猡泺漯珞椤脶镙瘰雒
ma,妈麻玛码蚂马骂嘛吗唛犸嬷杩蟆
mai,埋买麦卖迈脉劢荬霾
man,瞒馒蛮满埋蔓曼慢漫谩墁幔缦熳镘颟螨鳗鞔
mang,芒茫盲氓忙莽邙漭硭蟒
mao,猫茅锚毛矛铆卯茂冒帽貌贸袤茆峁泖瑁牦耄旄懋瞀蝥蟊髦
me,么
mei,玫枚梅酶霉煤没眉媒镁每美昧寐妹媚莓嵋猸浼湄楣镅鹛袂篾魅
men,门闷们扪焖懑钔
meng,萌蒙檬盟锰猛梦孟勐甍瞢懵朦礞虻蜢蠓艋艨
mi,眯醚靡糜迷谜弥米秘觅泌蜜密幂芈谧蘼咪嘧猕汨宓弭脒祢敉糸縻麋
mian,棉眠绵冕免勉娩缅面沔渑湎腼眄
miao,苗描瞄藐秒渺庙妙喵邈缈杪淼眇鹋
mie,蔑灭乜咩蠛
min,民抿皿敏悯闽苠岷闵泯缗玟珉愍鳘黾
ming,明螟鸣铭名命冥茗溟暝瞑酩
miu,谬
mo,摸摹蘑模膜磨摩魔抹末莫墨默沫漠寞陌谟茉蓦馍嫫殁镆秣瘼耱貊貘麽脉
mou,谋牟某侔哞眸蛑鍪缪
mu,模拇牡亩姆母墓暮幕募慕木目睦牧穆仫坶苜沐毪钼呒
na,拿哪呐钠那娜纳捺肭镎衲
nai,氖乃奶耐奈鼐艿萘柰
nan,南男难喃囡楠腩蝻赧
nang,囊攮囔馕曩
nao,挠脑恼闹淖孬垴呶猱瑙硇铙蛲
ne,呢讷
nei,馁内
nen,嫩
neng,能
ni,妮霓倪泥尼拟你匿腻逆溺伲坭猊怩昵旎睨铌鲵慝
nian,蔫拈粘年碾撵捻念埝辇黏鲇鲶廿
niang,娘酿
niao,鸟尿茑嬲脲袅
nie,捏聂孽啮镊镍涅陧蘖嗫颞臬蹑
nin,您恁
ning,柠狞凝宁拧泞佞咛甯聍苎
niu,牛扭钮纽狃忸妞拗
nong,脓浓农弄侬哝
nou,耨
nu,奴努怒弩胬孥驽
nv,女恧钕衄
nuan,暖
nue,虐疟
nuo,娜挪懦糯诺傩搦喏锘
o,哦喔噢
ou,欧鸥殴藕呕偶沤讴瓯耦
pa,扒耙啪趴爬帕怕琶葩杷筢
